time,src,dst,protocol,length
1784852069.191396,172.64.155.209,192.168.8.138,6,54
1784852069.191396,172.64.155.209,192.168.8.138,6,54
1784852069.192415,172.64.155.209,192.168.8.138,6,54
1784852069.192415,172.64.155.209,192.168.8.138,6,54
1784852069.1934166,172.64.155.209,192.168.8.138,6,54
1784852069.1934166,172.64.155.209,192.168.8.138,6,54
1784852069.194412,172.64.155.209,192.168.8.138,6,54
1784852069.210893,172.64.155.209,192.168.8.138,6,54
1784852069.210893,172.64.155.209,192.168.8.138,6,54
1784852069.2119024,172.64.155.209,192.168.8.138,6,54
1784852069.2119024,172.64.155.209,192.168.8.138,6,54
1784852069.2119024,172.64.155.209,192.168.8.138,6,54
1784852069.2139056,172.64.155.209,192.168.8.138,6,1454
1784852069.2159283,172.64.155.209,192.168.8.138,6,791
1784852069.2169442,172.64.155.209,192.168.8.138,6,101
1784852069.2169442,172.64.155.209,192.168.8.138,6,85
1784852069.2179449,192.168.8.138,172.64.155.209,6,54
1784852069.227883,172.64.155.209,192.168.8.138,6,1454
1784852069.227883,172.64.155.209,192.168.8.138,6,583
1784852069.2288828,172.64.155.209,192.168.8.138,6,101
1784852069.2288828,192.168.8.138,172.64.155.209,6,54
1784852069.2303433,172.64.155.209,192.168.8.138,6,85
1784852069.2308521,192.168.8.138,172.64.155.209,6,54
1784852069.2371986,172.64.155.209,192.168.8.138,6,54
1784852069.2371986,172.64.155.209,192.168.8.138,6,54
1784852069.2392023,172.64.155.209,192.168.8.138,6,54
1784852069.2392023,172.64.155.209,192.168.8.138,6,54
1784852069.2402039,192.168.8.138,172.64.155.209,6,54
1784852069.2412047,192.168.8.138,172.64.155.209,6,54
1784852069.2421987,192.168.8.138,172.64.155.209,6,54
1784852069.243203,192.168.8.138,172.64.155.209,6,54
1784852069.243203,172.64.155.209,192.168.8.138,6,54
1784852069.2644548,172.64.155.209,192.168.8.138,6,1454
1784852069.2733836,172.64.155.209,192.168.8.138,6,790
1784852069.274713,192.168.8.138,172.64.155.209,6,54
1784852069.2760751,172.64.155.209,192.168.8.138,6,101
1784852069.277094,172.64.155.209,192.168.8.138,6,85
1784852069.277602,172.64.155.209,192.168.8.138,6,1454
1784852069.2786176,192.168.8.138,172.64.155.209,6,54
1784852069.2796164,172.64.155.209,192.168.8.138,6,586
1784852069.2806149,172.64.155.209,192.168.8.138,6,101
1784852069.2806149,192.168.8.138,172.64.155.209,6,54
1784852069.2816153,172.64.155.209,192.168.8.138,6,85
1784852069.2826257,172.64.155.209,192.168.8.138,6,1454
1784852069.2836142,172.64.155.209,192.168.8.138,6,639
1784852069.2846262,172.64.155.209,192.168.8.138,6,348
1784852069.2846262,192.168.8.138,172.64.155.209,6,54
1784852069.285623,172.64.155.209,192.168.8.138,6,85
1784852069.2869327,172.64.155.209,192.168.8.138,6,1454
1784852069.2884629,172.64.155.209,192.168.8.138,6,751
1784852069.2884629,172.64.155.209,192.168.8.138,6,101
1784852069.289523,172.64.155.209,192.168.8.138,6,85
1784852069.289523,192.168.8.138,172.64.155.209,6,54
1784852069.2907872,172.64.155.209,192.168.8.138,6,1454
1784852069.2907872,172.64.155.209,192.168.8.138,6,626
1784852069.2917829,192.168.8.138,172.64.155.209,6,54
1784852069.2927866,172.64.155.209,192.168.8.138,6,131
1784852069.293784,172.64.155.209,192.168.8.138,6,1454
1784852069.2942934,192.168.8.138,172.64.155.209,6,54
1784852069.2942934,172.64.155.209,192.168.8.138,6,751
1784852069.2953076,172.64.155.209,192.168.8.138,6,101
1784852069.2963045,192.168.8.138,172.64.155.209,6,54
1784852069.2963045,172.64.155.209,192.168.8.138,6,85
1784852069.2973044,172.64.155.209,192.168.8.138,6,1454
1784852069.2973044,172.64.155.209,192.168.8.138,6,612
1784852069.2973044,192.168.8.138,172.64.155.209,6,54
1784852069.2987945,172.64.155.209,192.168.8.138,6,101
1784852069.2996266,192.168.8.138,172.64.155.209,6,54
1784852069.3003268,172.64.155.209,192.168.8.138,6,85
1784852069.3003268,192.168.8.138,23.226.136.46,6,66
1784852069.3069038,172.64.155.209,192.168.8.138,6,1454
1784852069.30834,172.64.155.209,192.168.8.138,6,745
1784852069.30834,192.168.8.138,172.64.155.209,6,54
1784852069.30834,172.64.155.209,192.168.8.138,6,101
1784852069.3096716,192.168.8.138,172.64.155.209,6,54
1784852069.3096716,172.64.155.209,192.168.8.138,6,85
1784852069.3458424,172.64.146.215,192.168.8.138,6,93
1784852069.355674,192.168.8.138,172.64.155.209,6,54
1784852069.3868392,192.168.8.138,172.64.146.215,6,54
1784852069.550418,172.64.155.209,192.168.8.138,6,1454
1784852069.5519257,172.64.155.209,192.168.8.138,6,641
1784852069.5519257,172.64.155.209,192.168.8.138,6,1454
1784852069.553289,172.64.155.209,192.168.8.138,6,622
1784852069.553289,172.64.155.209,192.168.8.138,6,85
1784852069.553289,192.168.8.138,172.64.155.209,6,54
1784852069.5548215,172.64.155.209,192.168.8.138,6,1454
1784852069.5548215,172.64.155.209,192.168.8.138,6,592
1784852069.5558338,172.64.155.209,192.168.8.138,6,985
1784852069.556839,192.168.8.138,172.64.155.209,6,54
1784852069.567759,172.64.155.209,192.168.8.138,6,85
1784852069.598292,172.64.155.209,192.168.8.138,6,1454
1784852069.5996876,172.64.155.209,192.168.8.138,6,620
1784852069.6001952,172.64.155.209,192.168.8.138,6,1327
1784852069.6001952,192.168.8.138,172.64.155.209,6,54
1784852069.601238,172.64.155.209,192.168.8.138,6,85
1784852069.6548202,192.168.8.138,172.64.155.209,6,54
